TT        PID       AT        CT        IO_D      WT        RT        TRT       DL        
894       3121      736       158       0         0         -1        158       0         
894       3122      752       142       0         0         63        142       0         
894       3129      816       140       0         -62       -1        78        0         
894       3131      822       134       0         -62       -1        72        0         
933       3068      406       212       0         315       316       527       0         
933       3119      733       200       0         0         -1        200       0         
933       3120      735       198       0         0         -1        198       0         
942       3097      588       128       0         226       227       354       0         
942       3133      825       117       0         0         -1        117       0         
942       3136      843       99        0         0         -1        99        0         
946       56        182       138       15        626       473       764       235       
950       100       344       19        12        587       52        606       357       
951       80        269       147       13        535       187       682       287       
964       98        337       38        13        589       104       627       353       
968       3125      798       88        0         82        83        170       0         
968       3141      895       73        0         0         -1        73        0         
968       3152      955       13        0         0         -1        13        0         
974       48        155       283       2         536       66        819       185       
987       77        255       24        7         708       142       732       261       
999       103       353       158       12        488       17        646       410       
1003      96        327       44        0         632       353       676       344       
1007      228       781       13        2         213       199       226       789       
1009      248       870       92        0         47        48        139       954       
1013      194       649       174       0         190       191       364       800       
1013      3143      899       114       0         0         -1        114       0         
1013      3145      906       107       0         0         -1        107       0         
1018      231       794       123       0         101       102       224       821       
1018      3142      898       120       0         0         -1        120       0         
1018      3144      901       117       0         0         -1        117       0         
1028      106       363       225       1         440       31        665       442       
1033      154       535       62        6         436       125       498       555       
1037      102       351       163       5         523       16        686       438       
1038      68        231       183       8         624       571       807       297       
1048      238       831       61        0         156       157       217       845       
1048      3158      1006      42        0         0         -1        42        0         
1048      3161      1010      38        0         0         -1        38        0         
1049      3139      865       107       0         77        78        184       0         
1049      3150      946       103       0         0         -1        103       0         
1049      3155      973       76        0         0         -1        76        0         
1068      23        87        87        5         894       10        981       134       
1082      3116      693       249       0         140       141       389       0         
1082      3137      847       235       0         0         -1        235       0         
1082      3138      851       231       0         0         -1        231       0         
1109      3123      795       91        0         223       224       314       0         
1109      3164      1027      82        0         0         -1        82        0         
1109      3165      1032      77        0         0         -1        77        0         
1111      24        94        248       5         769       1         1017      109       
1120      89        296       147       11        677       175       824       400       
1121      114       396       17        15        708       19        725       406       
1141      3140      880       92        0         169       170       261       0         
1141      3167      1058      83        0         0         -1        83        0         
1141      3168      1064      77        0         0         -1        77        0         
1151      3148      934       27        0         190       191       217       0         
1151      3175      1127      24        0         0         -1        24        0         
1151      3176      1131      20        0         0         -1        20        0         
1160      310       1079      67        9         14        15        81        1114      
1190      185       617       93        5         480       177       573       641       
1192      111       381       128       16        683       41        811       416       
1202      3149      946       61        0         195       196       256       0         
1202      3178      1142      60        0         0         -1        60        0         
1202      3179      1143      59        0         0         -1        59        0         
1210      3151      948       59        0         203       204       262       0         
1210      3182      1167      43        0         0         -1        43        0         
1210      3183      1172      38        0         0         -1        38        0         
1214      150       526       57        13        631       71        688       576       
1219      3127      807       137       0         275       276       412       0         
1219      3170      1085      134       0         0         -1        134       0         
1219      3180      1145      74        0         0         -1        74        0         
1223      250       883       255       0         85        86        340       1119      
1223      3156      981       242       0         0         206       242       0         
1223      3184      1204      224       0         -205      -1        19        0         
1223      3186      1209      219       0         -205      -1        14        0         
1223      3157      1001      222       0         0         -1        222       0         
1223      87        289       198       1         736       474       934       472       
1230      3132      823       121       0         286       287       407       0         
1230      3177      1133      97        0         0         -1        97        0         
1230      3181      1160      70        0         0         -1        70        0         
1230      157       538       10        13        682       505       692       546       
1238      132       462       209       4         567       491       776       522       
1274      3115      681       261       0         332       333       593       0         
1274      3162      1017      257       0         0         -1        257       0         
1274      3163      1023      251       0         0         -1        251       0         
1284      130       451       93        4         740       399       833       470       
1286      50        164       189       13        933       80        1122      259       
1297      3134      832       249       0         216       217       465       0         
1297      3166      1054      243       0         0         -1        243       0         
1297      3169      1070      227       0         0         -1        227       0         
1298      105       361       182       5         755       73        937       402       
1311      204       690       52        0         569       61        621       728       
1330      46        144       95        7         1091      108       1186      222       
1336      137       483       29        7         824       253       853       502       
1346      163       550       90        5         706       339       796       603       
1357      306       1059      155       0         143       144       298       1178      
1357      3185      1208      149       0         0         -1        149       0         
1357      3197      1275      82        0         0         -1        82        0         
1360      136       482       150       2         728       351       878       509       
1393      3159      1006      119       0         268       269       387       0         
1393      3196      1275      118       0         0         -1        118       0         
1393      3199      1291      102       0         0         -1        102       0         
1423      282       984       95        2         344       1         439       1036      
1435      3153      962       225       0         248       249       473       0         
1435      3187      1213      222       0         0         -1        222       0         
1435      3188      1217      218       0         0         -1        218       0         
1441      3154      969       218       0         254       255       472       0         
1441      3192      1230      211       0         0         164       211       0         
1441      3204      1411      193       0         -163      -1        30        0         
1441      3205      1412      192       0         -163      -1        29        0         
1441      3193      1243      198       0         0         193       198       0         
1441      3208      1436      197       0         -192      -1        5         0         
1446      3147      918       216       0         312       313       528       0         
1446      3195      1259      187       0         0         -1        187       0         
1446      3198      1287      159       0         0         156       159       0         
1450      386       1341      23        0         86        21        109       1360      
1456      140       498       27        10        931       429       958       521       
1457      123       419       137       0         901       902       1038      440       
1458      3135      842       239       0         377       378       616       0         
1458      3189      1224      234       0         0         -1        234       0         
1458      3191      1228      230       0         0         -1        230       0         
1461      53        172       298       3         991       28        1289      313       
1465      107       370       129       8         966       36        1095      498       
1478      112       386       94        15        998       782       1092      422       
1479      97        330       104       15        1045      125       1149      335       
1483      135       476       154       7         853       59        1007      506       
1505      180       599       49        0         857       476       906       631       
1514      3146      917       217       0         380       381       597       0         
1514      3200      1299      215       0         0         -1        215       0         
1514      3201      1306      208       0         0         -1        208       0         
1517      18        59        226       6         1232      1         1458      152       
1522      3173      1111      76        0         335       336       411       0         
1522      3210      1448      74        0         0         -1        74        0         
1522      3211      1450      72        0         0         -1        72        0         
1525      360       1245      70        4         210       16        280       1295      
1557      54        176       76        8         1305      256       1381      251       
1558      3160      1008      117       0         433       434       550       0         
1558      3214      1457      101       0         0         -1        101       0         
1558      3216      1467      91        0         0         -1        91        0         
1576      3172      1093      158       0         325       326       483       0         
1576      3206      1419      157       0         0         23        157       0         
1576      3209      1442      156       0         -22       -1        134       0         
1576      3212      1450      148       0         -22       82        126       0         
1576      3226      1538      141       0         -103      -1        38        0         
1576      3227      1553      126       0         -103      -1        23        0         
1576      3207      1425      151       0         0         -1        151       0         
1582      183       610       72        6         900       445       972       625       
1583      272       947       35        5         601       416       636       966       
1590      225       768       64        10        758       176       822       786       
1594      3174      1115      72        0         407       408       479       0         
1594      3222      1523      71        0         0         -1        71        0         
1594      3223      1525      69        0         0         -1        69        0         
1595      3213      1454      37        0         104       105       141       0         
1595      3228      1560      35        0         0         -1        35        0         
1595      3229      1577      18        0         0         -1        18        0         
1599      347       1199      242       0         158       159       400       1271      
1599      3202      1367      232       0         0         -1        232       0         
1599      3203      1372      227       0         0         -1        227       0         
1605      316       1097      59        10        449       64        508       1109      
1620      3171      1089      162       0         369       370       531       0         
1620      3217      1471      149       0         0         -1        149       0         
1620      3218      1472      148       0         0         -1        148       0         
1620      420       1458      25        0         137       138       162       1468      
1620      3237      1597      23        0         0         -1        23        0         
1620      3241      1611      9         0         0         -1        9         0         
1620      442       1544      15        0         61        62        76        1549      
1621      267       933       122       1         566       71        688       1008      
1643      300       1037      93        6         513       63        606       1070      
1668      441       1542      29        0         97        25        126       1568      
1740      133       465       259       1         1016      38        1275      496       
1753      3220      1515      77        0         161       162       238       0         
1753      3251      1688      65        0         0         -1        65        0         
1753      3252      1693      60        0         0         -1        60        0         
1756      366       1256      92        4         408       85        500       1328      
1772      449       1566      140       0         66        67        206       1645      
1772      3247      1646      126       0         0         -1        126       0         
1772      3248      1647      125       0         0         -1        125       0         
1772      146       517       133       7         1122      433       1255      601       
1775      261       917       80        15        778       191       858       925       
1782      117       398       142       6         1242      177       1384      484       
1784      486       1703      28        0         53        54        81        1720      
1804      3194      1247      210       0         347       348       557       0         
1804      3239      1603      201       0         0         -1        201       0         
1804      3243      1613      191       0         0         -1        191       0         
1805      47        151       272       10        1382      17        1654      328       
1805      116       396       155       7         1254      294       1409      537       
1828      408       1419      252       0         157       158       409       1667      
1828      3230      1578      250       0         0         -1        250       0         
1828      3233      1587      241       0         0         -1        241       0         
1829      3221      1516      76        0         237       238       313       0         
1829      3253      1765      64        0         0         -1        64        0         
1829      3254      1772      57        0         0         -1        57        0         
1830      166       557       294       11        979       695       1273      686       
1840      3215      1461      185       0         194       195       379       0         
1840      3249      1672      168       0         0         -1        168       0         
1840      3250      1676      164       0         0         -1        164       0         
1849      126       432       200       7         1217      583       1417      598       
1852      179       599       174       8         1079      890       1253      709       
1853      3190      1224      233       0         396       397       629       0         
1853      3245      1642      211       0         0         -1        211       0         
1853      3246      1645      208       0         0         -1        208       0         
1865      3231      1579      37        0         249       250       286       0         
1865      3263      1850      15        0         0         -1        15        0         
1865      3266      1857      8         0         0         -1        8         0         
1866      196       656       128       1         1082      1081      1210      780       
1875      152       528       51        14        1296      874       1347      560       
1885      3238      1602      282       0         1         2         283       0         
1885      3240      1610      275       0         0         -1        275       0         
1885      3242      1612      273       0         0         -1        273       0         
1895      3232      1586      30        0         279       280       309       0         
1895      3270      1866      29        0         0         -1        29        0         
1924      470       1655      171       0         98        99        269       1817      
1929      240       842       108       0         979       561       1087      857       
1933      3235      1591      161       0         181       182       342       0         
1933      3255      1774      159       0         0         -1        159       0         
1933      3256      1785      148       0         0         101       148       0         
1933      3272      1886      147       0         -100      -1        47        0         
1933      3273      1888      145       0         -100      -1        45        0         
1934      235       814       11        10        1109      602       1120      819       
1939      31        110       117       15        1712      280       1829      185       
1941      298       1029      73        14        839       5         912       1077      
1942      214       740       99        8         1103      289       1202      778       
1949      113       389       157       3         1403      1         1560      530       
1953      144       505       53        6         1395      105       1448      536       
1958      198       662       112       16        1184      199       1296      720       
1961      293       1012      37        2         912       27        949       1039      
1976      3219      1510      136       0         330       331       466       0         
1976      3261      1841      135       0         0         -1        135       0         
1976      3264      1851      125       0         0         -1        125       0         
1984      176       588       129       11        1267      317       1396      612       
1987      169       563       261       5         1163      1049      1424      723       
2010      3224      1529      181       0         300       301       481       0         
2010      3262      1847      163       0         0         -1        163       0         
2010      3265      1852      158       0         0         -1        158       0         
2019      555       1926      66        12        27        28        93        1992      
2024      257       905       200       4         919       838       1119      1102      
2040      3244      1624      107       0         309       310       416       0         
2040      3280      1941      99        0         0         -1        99        0         
2040      3281      1942      98        0         0         -1        98        0         
2047      394       1371      43        1         633       98        676       1384      
2056      402       1402      81        15        573       110       654       1427      
2075      211       727       194       13        1154      338       1348      904       
2078      415       1437      39        6         602       141       641       1447      
2094      3236      1594      290       0         210       211       500       0         
2094      3257      1806      288       0         0         -1        288       0         
2094      3258      1808      286       0         0         -1        286       0         
2107      263       924       38        3         1145      489       1183      941       
2111      3260      1829      121       0         161       162       282       0         
2111      3292      1998      113       0         0         -1        113       0         
2111      3294      2003      108       0         0         -1        108       0         
2116      3259      1828      122       0         166       167       288       0         
2116      3293      1999      117       0         0         -1        117       0         
2116      3299      2029      87        0         0         -1        87        0         
2119      134       471       131       11        1517      530       1648      552       
2123      536       1879      19        9         225       162       244       1888      
2123      3302      2050      9         0         64        -1        73        0         
2126      252       891       107       14        1128      470       1235      993       
2129      294       1015      25        17        1089      532       1114      1039      
2137      86        289       28        4         1820      1         1848      294       
2139      3234      1589      163       0         387       388       550       0         
2139      3286      1981      158       0         0         -1        158       0         
2139      3290      1992      147       0         0         -1        147       0         
2158      37        124       40        12        1994      107       2034      150       
2175      3271      1867      64        0         244       245       308       0         
2175      3307      2114      61        0         0         -1        61        0         
2175      3308      2115      60        0         0         -1        60        0         
2187      3225      1533      177       0         477       478       654       0         
2187      3296      2019      168       0         0         -1        168       0         
2187      3298      2021      166       0         0         -1        166       0         
2194      201       678       71        2         1445      21        1516      698       
2196      296       1024      40        0         1132      1133      1172      1052      
2198      3267      1861      206       0         131       132       337       0         
2198      3295      2017      181       0         0         -1        181       0         
2198      3300      2033      165       0         0         -1        165       0         
2211      118       404       80        2         1727      586       1807      459       
2213      60        197       255       9         1761      13        2016      447       
2246      187       624       253       14        1369      1218      1622      814       
2250      119       408       239       12        1603      312       1842      510       
2259      221       758       28        5         1473      176       1501      786       
2278      3278      1917      184       0         177       178       361       0         
2278      3305      2095      183       0         0         -1        183       0         
2278      3306      2097      181       0         0         -1        181       0         
2294      3287      1981      56        0         257       258       313       0         
2294      3320      2250      44        0         0         -1        44        0         
2294      3322      2258      36        0         0         -1        36        0         
2296      3274      1889      277       0         130       131       407       0         
2296      3297      2020      276       0         0         -1        276       0         
2296      3301      2040      256       0         0         -1        256       0         
2308      215       741       185       8         1382      1053      1567      865       
2310      485       1699      63        6         548       89        611       1735      
2312      3279      1928      173       0         211       212       384       0         
2312      3313      2146      166       0         0         -1        166       0         
2312      3314      2157      155       0         0         -1        155       0         
2321      373       1287      19        1         1015      927       1034      1298      
2342      594       2067      34        0         241       242       275       2079      
2351      3288      1982      55        0         314       315       369       0         
2351      3327      2306      45        0         0         -1        45        0         
2351      3328      2318      33        0         0         -1        33        0         
2366      175       586       266       2         1514      413       1780      842       
2399      3268      1866      201       0         332       333       533       0         
2399      3319      2245      154       0         0         -1        154       0         
2399      3321      2257      142       0         0         -1        142       0         
2402      3284      1950      215       0         237       238       452       0         
2402      3317      2193      209       0         0         -1        209       0         
2402      3318      2199      203       0         0         -1        203       0         
2427      168       563       42        7         1822      276       1864      575       
2432      101       351       138       6         1943      11        2081      389       
2437      342       1177      19        15        1241      445       1260      1191      
2438      395       1371      31        9         1036      108       1067      1396      
2439      3275      1902      264       0         273       274       537       0         
2439      3315      2186      253       0         0         -1        253       0         
2439      3316      2187      252       0         0         216       252       0         
2439      3337      2403      251       0         -215      -1        36        0         
